1764,2021-10-11T15:08:51+0000;0444,T699a,H6534;0445,T6985,H630d;0544,T6983,H5c15;0545,T6987,H62f8;0644,T692c,H66e3;0645,T6967,H65da;0744,T6971,H5a08;0745,T697a,H6676
1765,2021-10-11T15:09:06+0000;0444,T6986,H656c;0445,T696f,H6350;0544,T696f,H5c41;0545,T6975,H632a;0644,T6919,H6713;0645,T6958,H6614;0744,T695d,H5a42;0745,T6966,H66ab
1766,2021-10-11T15:09:22+0000;0444,T6971,H65a7;0445,T695f,H637e;0544,T695f,H5c6b;0545,T6964,H635d;0644,T6906,H673f;0645,T6944,H6640;0744,T694b,H5a6a;0745,T6955,H66de
1767,2021-10-11T15:09:38+0000;0444,T695e,H65dd;0445,T694c,H63ad;0544,T694d,H5ca4;0545,T6952,H6393;0644,T68f7,H6772;0645,T6934,H6679;0744,T6938,H5a97;0745,T6944,H6718
1768,2021-10-11T15:09:54+0000;0444,T694e,H6619;0445,T693d,H63e8;0544,T693b,H5ccf;0545,T693f,H63ca;0644,T68e7,H67b1;0645,T6920,H66a6;0744,T6926,H5acb;0745,T6933,H674a
1769,2021-10-11T15:10:09+0000;0444,T693a,H664d;0445,T692b,H640f;0544,T6929,H5cff;0545,T692f,H63f2;0644,T68d3,H67db;0645,T6911,H66d8;0744,T6916,H5af6;0745,T6922,H677c
1770,2021-10-11T15:10:25+0000;0444,T692a,H6680;0445,T691a,H6444;0544,T6917,H5d2f;0545,T691d,H6423;0644,T68c6,H6811;0645,T68ff,H670e;0744,T6904,H5b29;0745,T690f,H67ac
1771,2021-10-11T15:10:41+0000;0444,T6916,H66b1;0445,T6909,H6475;0544,T6907,H5d5b;0545,T690c,H6455;0644,T68b3,H6838;0645,T68ed,H673c;0744,T68f2,H5b52;0745,T68ff,H67de
1772,2021-10-11T15:10:57+0000;0444,T6905,H66e8;0445,T68f7,H64a3;0544,T68f4,H5d97;0545,T68fc,H648c;0644,T68a5,H6863;0645,T68df,H6775;0744,T68e1,H5b7e;0745,T68ee,H6809
1773,2021-10-11T15:11:12+0000;0444,T68f3,H671a;0445,T68e6,H64e0;0544,T68e2,H5db8;0545,T68eb,H64ba;0644,T6894,H68a3;0645,T68ce,H679b;0744,T68d0,H5baf;0745,T68df,H683e
1774,2021-10-11T15:11:28+0000;0444,T68e0,H675a;0445,T68d4,H650f;0544,T68d2,H5de2;0545,T68da,H64ea;0644,T6884,H68c8;0645,T68bf,H67ce;0744,T68c3,H5bd8;0745,T68ce,H6868
1775,2021-10-11T15:11:44+0000;0444,T68d1,H6784;0445,T68c7,H653d;0544,T68c3,H5e10;0545,T68cd,H6515;0644,T6876,H68f7;0645,T68af,H6801;0744,T68b2,H5c07;0745,T68bf,H6895
1776,2021-10-11T15:12:00+0000;0444,T68c0,H67b3;0445,T68b6,H6569;0544,T68b3,H5e36;0545,T68b8,H6549;0644,T6866,H6926;0645,T68a2,H6829;0744,T68a2,H5c2c;0745,T68af,H68c5
1777,2021-10-11T15:12:15+0000;0444,T68af,H67e9;0445,T68a7,H6595;0544,T68a4,H5e61;0545,T68ab,H656d;0644,T6859,H6952;0645,T6891,H6858;0744,T6892,H5c5f;0745,T68a2,H68f4
1778,2021-10-11T15:12:31+0000;0444,T68a0,H6816;0445,T6898,H65cb;0544,T6894,H5e91;0545,T689c,H65a7;0644,T6848,H697d;0645,T6884,H688b;0744,T6880,H5c85;0745,T688e,H6929
1779,2021-10-11T15:12:47+0000;0444,T6892,H6848;0445,T688a,H65f4;0544,T6885,H5ebb;0545,T688c,H65c8;0644,T683b,H69aa;0645,T6876,H68b4;0744,T6872,H5cad;0745,T6882,H694c
