2837,2021-10-12T09:21:07+0000;0444,T61c9,H7fd7;0445,T61d7,H7d02;0544,T61e8,H73d5;0545,T61e8,H7d0d;0644,T61f1,H7f0c;0645,T621d,H7e55;0744,T61dd,H7136;0745,T61e8,H7fbe
2838,2021-10-12T09:21:23+0000;0444,T61c9,H7fda;0445,T61db,H7cfb;0544,T61e7,H73d7;0545,T61e7,H7d00;0644,T61f3,H7f06;0645,T621e,H7e56;0744,T61de,H7137;0745,T61eb,H7fc0
2839,2021-10-12T09:21:38+0000;0444,T61cd,H7fd5;0445,T61db,H7cfb;0544,T61ea,H73d6;0545,T61e9,H7cfc;0644,T61f5,H7f03;0645,T621f,H7e49;0744,T61dd,H7135;0745,T61ec,H7fbb
2840,2021-10-12T09:21:54+0000;0444,T61cd,H7fd0;0445,T61db,H7cfe;0544,T61eb,H73d5;0545,T61ea,H7cff;0644,T61f6,H7f03;0645,T621f,H7e45;0744,T61e1,H7133;0745,T61ee,H7fbb
2841,2021-10-12T09:22:10+0000;0444,T61d5,H8278;0445,T61e3,H7fe5;0544,T61f1,H7613;0545,T61ed,H7f63;0644,T61fd,H8102;0645,T6222,H809b;0744,T61e4,H7341;0745,T61f1,H821f
2842,2021-10-12T09:22:26+0000;0444,T61da,H8577;0445,T61e9,H82bd;0544,T61f6,H787d;0545,T61f3,H8185;0644,T6202,H82dc;0645,T6228,H834a;0744,T61ea,H75cc;0745,T61f6,H84f9
2843,2021-10-12T09:22:41+0000;0444,T61dc,H8624;0445,T61ea,H83b5;0544,T61fa,H7970;0545,T61f3,H8285;0644,T6204,H8404;0645,T622e,H8434;0744,T61ed,H76af;0745,T61fd,H85c9
2844,2021-10-12T09:22:57+0000;0444,T61dc,H8674;0445,T61ee,H83dc;0544,T61fc,H7981;0545,T61f7,H82d4;0644,T620c,H84f2;0645,T6236,H8486;0744,T61f0,H7675;0745,T61fe,H85bf
2845,2021-10-12T09:23:13+0000;0444,T61e0,H8675;0445,T61ee,H83e4;0544,T61ff,H799f;0545,T61f6,H8335;0644,T6211,H85a8;0645,T623a,H8545;0744,T61f5,H76be;0745,T6204,H8591
2846,2021-10-12T09:23:29+0000;0444,T61e4,H88cb;0445,T61fb,H86b2;0544,T6207,H7c31;0545,T6202,H85cc;0644,T621e,H88bf;0645,T6243,H86e6;0744,T61fc,H773d;0745,T620a,H863f
2847,2021-10-12T09:23:45+0000;0444,T61e7,H88e5;0445,T61fc,H876a;0544,T620a,H7c9f;0545,T6205,H8760;0644,T621e,H87e9;0645,T6244,H8661;0744,T61ff,H7831;0745,T620b,H8787
2848,2021-10-12T09:24:00+0000;0444,T61ea,H8898;0445,T61fd,H864d;0544,T620c,H7ba2;0545,T6208,H85db;0644,T6222,H86e1;0645,T624a,H85f1;0744,T6203,H77ed;0745,T6210,H8769
2849,2021-10-12T09:24:16+0000;0444,T61ea,H8895;0445,T61fe,H8624;0544,T620f,H7bc6;0545,T620c,H8613;0644,T6227,H8732;0645,T624f,H8662;0744,T6206,H785d;0745,T6211,H87ae
2850,2021-10-12T09:24:32+0000;0444,T61ed,H8895;0445,T6202,H85f9;0544,T6213,H7b8a;0545,T6214,H85d2;0644,T6227,H8749;0645,T624e,H8694;0744,T620b,H7879;0745,T6213,H87bb
2851,2021-10-12T09:24:48+0000;0444,T61f0,H8865;0445,T6205,H85c0;0544,T6219,H7b58;0545,T6217,H8592;0644,T622c,H873a;0645,T6252,H8691;0744,T620b,H7898;0745,T6215,H87ed
2852,2021-10-12T09:25:03+0000;0444,T61f0,H8849;0445,T6208,H85bd;0544,T621b,H7b62;0545,T621d,H857f;0644,T622c,H873d;0645,T6252,H869c;0744,T620d,H789c;0745,T6217,H87f5
2853,2021-10-12T09:25:19+0000;0444,T61f1,H8838;0445,T6208,H85a6;0544,T621e,H7b53;0545,T6221,H856f;0644,T6232,H873c;0645,T6255,H86ab;0744,T620d,H7890;0745,T621b,H87eb
2854,2021-10-12T09:25:35+0000;0444,T61f5,H8833;0445,T620b,H858c;0544,T621f,H7b33;0545,T6222,H853c;0644,T6233,H8736;0645,T6254,H8695;0744,T620e,H788d;0745,T621c,H87d5
2855,2021-10-12T09:25:51+0000;0444,T61f7,H8827;0445,T620d,H8583;0544,T6224,H7b20;0545,T6226,H851e;0644,T6237,H872b;0645,T6258,H8691;0744,T6214,H7883;0745,T621a,H87be
2856,2021-10-12T09:26:06+0000;0444,T61f7,H881c;0445,T6211,H8576;0544,T6226,H7b0d;0545,T6228,H8504;0644,T6239,H871f;0645,T6259,H8688;0744,T6214,H787f;0745,T621d,H87bf
2857,2021-10-12T09:26:22+0000;0444,T61fc,H8818;0445,T6211,H856d;0544,T6227,H7b03;0545,T622a,H84ed;0644,T623a,H8711;0645,T625b,H8682;0744,T6215,H7880;0745,T621f,H87c7
2858,2021-10-12T09:26:38+0000;0444,T61ff,H881c;0445,T6216,H855c;0544,T6231,H7b09;0545,T6232,H84ed;0644,T6242,H8702;0645,T6262,H866b;0744,T621d,H786a;0745,T6224,H87b3
2859,2021-10-12T09:26:54+0000;0444,T6218,H9098;0445,T623f,H8c7a;0544,T625f,H80d1;0545,T6259,H8a9e;0644,T6269,H8927;0645,T6281,H897d;0744,T6231,H7ade;0745,T622f,H88d2
2860,2021-10-12T09:27:09+0000;0444,T624f,H91a4;0445,T6281,H8cbf;0544,T62b6,H8065;0545,T62ad,H8b3f;0644,T62c1,H89a5;0645,T62c9,H88b0;0744,T625a,H7ad9;0745,T624e,H8af5
2861,2021-10-12T09:27:25+0000;0444,T6424,H9ff9;0445,T639b,H9d99;0544,T63bc,H8fd5;0545,T63ad,H9c77;0644,T63e6,H9d73;0645,T63dc,H9dc9;0744,T6339,H8e20;0745,T638e,Ha04e
2862,2021-10-12T09:27:41+0000;0444,T65b0,H9f5e;0445,T64c6,H9fb0;0544,T64b4,H9282;0545,T6497,H9f5c;0644,T64e2,Ha083;0645,T64e9,Ha08f;0744,T641b,H91c8;0745,T64c2,Ha273
2863,2021-10-12T09:27:57+0000;0444,T66f8,H9b61;0445,T65c9,H9d15;0544,T6592,H9121;0545,T657f,H9de5;0644,T65cf,H9ee3;0645,T65db,H9e9d;0744,T64f5,H90c0;0745,T65d8,H9fc6
2864,2021-10-12T09:28:12+0000;0444,T681e,H953b;0445,T66c6,H984b;0544,T666a,H8d93;0545,T663d,H99f4;0644,T66aa,H9ab2;0645,T66ac,H9a72;0744,T65bb,H8d75;0745,T66e4,H9a9f
2865,2021-10-12T09:28:28+0000;0444,T6924,H8efc;0445,T67a4,H9285;0544,T6734,H892c;0545,T66f2,H9539;0644,T6773,H9594;0645,T6790,H951d;0744,T6688,H891c;0745,T67cf,H94c4
2866,2021-10-12T09:28:44+0000;0444,T6a1b,H88e9;0445,T6879,H8cb7;0544,T67fa,H8471;0545,T67a4,H9025;0644,T6836,H9020;0645,T6857,H8f5b;0744,T6745,H8451;0745,T68b6,H8eb6
2867,2021-10-12T09:29:00+0000;0444,T6b00,H82e8;0445,T6942,H872b;0544,T68bb,H7f65;0545,T6860,H8acf;0644,T68ee,H8aee;0645,T6919,H89fe;0744,T6805,H7f67;0745,T6994,H88fc
2868,2021-10-12T09:29:15+0000;0444,T6bdb,H7d61;0445,T6a0d,H818d;0544,T6970,H7a99;0545,T6904,H85ea;0644,T69a4,H85ac;0645,T69d7,H84b4;0744,T68c0,H7a99;0745,T6a64,H8370
2869,2021-10-12T09:29:31+0000;0444,T6ca8,H7859;0445,T6acb,H7c7b;0544,T6a24,H764f;0545,T699a,H8145;0644,T6a5b,H80b1;0645,T6a8f,H7fa0;0744,T6978,H7618;0745,T6b26,H7e52
2870,2021-10-12T09:29:47+0000;0444,T6d6a,H73e3;0445,T6b83,H77d7;0544,T6ad2,H7224;0545,T6a33,H7cc9;0644,T6b06,H7c20;0645,T6b3f,H7af7;0744,T6a27,H71e6;0745,T6be1,H79c9
2871,2021-10-12T09:30:03+0000;0444,T6e34,H6fa0;0445,T6c32,H73b1;0544,T6b7f,H6e4c;0545,T6acd,H78ea;0644,T6bb1,H77f7;0645,T6be5,H76df;0744,T6acb,H6df7;0745,T6c83,H75d0
2872,2021-10-12T09:30:19+0000;0444,T6ee4,H6ba6;0445,T6cd4,H6fdc;0544,T6c24,H6a77;0545,T6b58,H7524;0644,T6c52,H7425;0645,T6c8d,H7307;0744,T6b74,H6a2a;0745,T6d23,H723b
2873,2021-10-12T09:30:34+0000;0444,T6f98,H681a;0445,T6d7a,H6c3d;0544,T6cc6,H671f;0545,T6be0,H720a;0644,T6ce7,H70e4;0645,T6d1f,H6fbc;0744,T6bff,H66f6;0745,T6dbf,H6ece
2874,2021-10-12T09:30:50+0000;0444,T7032,H6510;0445,T6e17,H68f5;0544,T6d55,H6424;0545,T6c67,H6f17;0644,T6d82,H6d91;0645,T6db8,H6c7d;0744,T6c9e,H6403;0745,T6e61,H6b9c
2875,2021-10-12T09:31:06+0000;0444,T70cd,H625b;0445,T6ea8,H6628;0544,T6deb,H6198;0545,T6cdf,H6c56;0644,T6e14,H6a9b;0645,T6e4b,H698d;0744,T6d37,H6135;0745,T6eec,H68d3
2876,2021-10-12T09:31:22+0000;0444,T716b,H5fd9;0445,T6f39,H6394;0544,T6e73,H5f29;0545,T6d53,H69ed;0644,T6e9e,H6807;0645,T6ed0,H670b;0744,T6dbf,H5ecb;0745,T6f77,H665a
2877,2021-10-12T09:31:37+0000;0444,T71f6,H5d84;0445,T6fc3,H612e;0544,T6efc,H5cd8;0545,T6dd3,H676f;0644,T6f28,H6594;0645,T6f60,H6482;0744,T6e52,H5c6a;0745,T7004,H63db
2878,2021-10-12T09:31:53+0000;0444,T727c,H5b77;0445,T703d,H5f0f;0544,T6f7c,H5ad5;0545,T6e45,H6542;0644,T6fa7,H6356;0645,T6fde,H623b;0744,T6ed4,H5a47;0745,T707f,H61c3
2879,2021-10-12T09:32:09+0000;0444,T72f2,H59a2;0445,T70ba,H5cfb;0544,T6ff2,H58f2;0545,T6eb2,H633e;0644,T701e,H6137;0645,T705a,H6017;0744,T6f50,H5838;0745,T70f8,H5fcc
2880,2021-10-12T09:32:25+0000;0444,T736e,H57cd;0445,T7134,H5b25;0544,T706d,H56f7;0545,T6f20,H615f;0644,T709f,H5f2b;0645,T70d5,H5e30;0744,T6fcb,H5627;0745,T716f,H5df6
2881,2021-10-12T09:32:40+0000;0444,T73dd,H5619;0445,T719d,H5989;0544,T70de,H5545;0545,T6f93,H5fa2;0644,T710c,H5d84;0645,T7143,H5c7e;0744,T7046,H5453;0745,T71db,H5c49
2882,2021-10-12T09:32:56+0000;0444,T7450,H5495;0445,T7209,H580d;0544,T714c,H53aa;0545,T6ff3,H5e17;0644,T717c,H5c09;0645,T71aa,H5b09;0744,T70b1,H52be;0745,T7246,H5add
2883,2021-10-12T09:33:12+0000;0444,T74b7,H534c;0445,T7274,H5692;0544,T71bc,H521d;0545,T704f,H5cc9;0644,T71e2,H5ab1;0645,T7217,H59b2;0744,T7126,H5151;0745,T72b3,H599e
2884,2021-10-12T09:33:28+0000;0444,T7516,H5221;0445,T72da,H5547;0544,T7222,H50dc;0545,T70a9,H5ba0;0644,T7244,H5978;0645,T7278,H5873;0744,T718d,H4ff6;0745,T730a,H586b
2885,2021-10-12T09:33:43+0000;0444,T757e,H5104;0445,T733c,H5425;0544,T7283,H4fb0;0545,T70fd,H5aa3;0644,T72a2,H5860;0645,T72db,H573b;0744,T71ef,H4ec9;0745,T7367,H5757
2886,2021-10-12T09:33:59+0000;0444,T75d6,H4fed;0445,T7395,H52f7;0544,T72d7,H4e95;0545,T7147,H59a0;0644,T7300,H5712;0645,T7332,H5604;0744,T7255,H4da0;0745,T73be,H5638
2887,2021-10-12T09:34:15+0000;0444,T762d,H4ede;0445,T73ec,H51d6;0544,T7330,H4d7e;0545,T71ae,H585c;0644,T735e,H55f1;0645,T7392,H54d6;0744,T72b1,H4c5c;0745,T741a,H550b
2888,2021-10-12T09:34:31+0000;0444,T7676,H4df9;0445,T7434,H50e0;0544,T7380,H4c81;0545,T71f6,H5741;0644,T73ad,H54dc;0645,T73e0,H53ce;0744,T7308,H4b50;0745,T7463,H541e
2889,2021-10-12T09:34:46+0000;0444,T76c0,H4d2c;0445,T7480,H4ff5;0544,T73cb,H4b9e;0545,T7240,H5657;0644,T73fb,H53e6;0645,T742e,H52d2;0744,T735a,H4a5f;0745,T74ab,H533b
2890,2021-10-12T09:35:02+0000;0444,T770a,H4c52;0445,T74cc,H4f1e;0544,T741a,H4abd;0545,T7294,H554a;0644,T744a,H52f3;0645,T7479,H51ec;0744,T73ab,H4969;0745,T74f7,H5258
2891,2021-10-12T09:35:18+0000;0444,T774a,H4b90;0445,T7514,H4e36;0544,T746d,H49c7;0545,T72e4,H543a;0644,T748d,H51ff;0645,T74c1,H50f4;0744,T73fc,H4869;0745,T753a,H5175
2892,2021-10-12T09:35:34+0000;0444,T778f,H4ad0;0445,T7555,H4d64;0544,T74ab,H48f4;0545,T732f,H534b;0644,T74d5,H5133;0645,T7502,H502e;0744,T743d,H47ad;0745,T757b,H50ad
2893,2021-10-12T09:35:49+0000;0444,T77ca,H4a36;0445,T7591,H4cba;0544,T74ea,H4841;0545,T7363,H528b;0644,T7513,H506e;0645,T7540,H4f70;0744,T7484,H46f5;0745,T75b6,H5003
2894,2021-10-12T09:36:05+0000;0444,T7801,H49b8;0445,T75cd,H4c2a;0544,T752c,H47b2;0545,T7394,H5216;0644,T7551,H4fdd;0645,T757e,H4edf;0744,T74c7,H4640;0745,T75ee,H4f76
2895,2021-10-12T09:36:21+0000;0444,T7838,H4955;0445,T7604,H4bc1;0544,T7569,H4734;0545,T73cf,H518f;0644,T7589,H4f63;0645,T75b7,H4e68;0744,T7502,H45d6;0745,T761c,H4f19
2896,2021-10-12T09:36:37+0000;0444,T786a,H490a;0445,T763b,H4b5c;0544,T75a0,H46d4;0545,T740e,H511b;0644,T75c1,H4f01;0645,T75ed,H4e04;0744,T753b,H4566;0745,T764e,H4ecd
2897,2021-10-12T09:36:53+0000;0444,T78a2,H4897;0445,T7672,H4af4;0544,T75d2,H4666;0545,T7435,H50b0;0644,T75f3,H4e92;0645,T761b,H4d9a;0744,T756d,H44f5;0745,T7681,H4e5d
2898,2021-10-12T09:37:08+0000;0444,T78ca,H484e;0445,T769c,H4a97;0544,T7604,H4608;0545,T7464,H504d;0644,T7626,H4e2b;0645,T764e,H4d2b;0744,T75a2,H4498;0745,T76b1,H4e11
2899,2021-10-12T09:37:24+0000;0444,T78f2,H47fc;0445,T76ca,H4a36;0544,T7635,H45b4;0545,T7496,H4fe7;0644,T7659,H4dc9;0645,T767f,H4cd8;0744,T75d8,H442d;0745,T76d6,H4db7
2900,2021-10-12T09:37:40+0000;0444,T7918,H47ac;0445,T76f9,H49d7;0544,T7666,H4541;0545,T74c7,H4f6c;0644,T7684,H4d4d;0645,T76aa,H4c6a;0744,T760c,H43b8;0745,T76fe,H4d53
2901,2021-10-12T09:37:56+0000;0444,T793f,H4743;0445,T771f,H4952;0544,T7693,H44b9;0545,T74f3,H4edd;0644,T76af,H4cd7;0645,T76d2,H4bea;0744,T7639,H4341;0745,T7729,H4cde
2902,2021-10-12T09:38:11+0000;0444,T795f,H46eb;0445,T7744,H48ff;0544,T76b9,H4446;0545,T751e,H4e6c;0644,T76d5,H4c66;0645,T76fc,H4b80;0744,T7666,H42c2;0745,T7748,H4c79
2903,2021-10-12T09:38:27+0000;0444,T797e,H4690;0445,T7766,H4890;0544,T76df,H43de;0545,T7545,H4dfa;0644,T76ff,H4bfe;0645,T7726,H4b08;0744,T768f,H4254;0745,T7771,H4c0d
2904,2021-10-12T09:38:43+0000;0444,T7996,H4647;0445,T7785,H483e;0544,T7707,H4384;0545,T756a,H4d8a;0644,T7723,H4b8d;0645,T774e,H4a9a;0744,T76be,H41e0;0745,T7788,H4bb8
2905,2021-10-12T09:38:59+0000;0444,T79b8,H45f7;0445,T77a3,H47e2;0544,T7727,H4323;0545,T7590,H4d24;0644,T7744,H4b35;0645,T7768,H4a47;0744,T76da,H4185;0745,T77a6,H4b69
2906,2021-10-12T09:39:14+0000;0444,T79cf,H45a7;0445,T77bf,H478b;0544,T7740,H42c6;0545,T75a9,H4cb9;0644,T7768,H4ac9;0645,T7789,H49e1;0744,T7701,H411d;0745,T77c5,H4b0c
