"Europe/Berlin CEST (UTC +02:00)";"H2_54611815_0 - Produkttemperatur - Online data logger 54611815 (FrittenWalzer) (°C)";"H2_54611815_1 - Relative Feuchte - Online data logger 54611815 (FrittenWalzer) (%rF)"
"2021-10-06 00:00:00";22.73;52.87
"2021-10-06 00:15:00";22.75;53.16
"2021-10-06 00:30:00";22.74;53.39
"2021-10-06 00:45:00";22.73;53.5
"2021-10-06 01:00:00";22.73;53.62
"2021-10-06 01:15:00";22.74;53.8
"2021-10-06 01:30:00";22.75;54.02
"2021-10-06 01:45:00";22.75;54.09
"2021-10-06 02:00:00";22.76;54.09
"2021-10-06 02:15:00";22.76;54.17
"2021-10-06 02:30:00";22.76;54.48
"2021-10-06 02:45:00";22.76;54.41
"2021-10-06 03:00:00";22.76;54.42
"2021-10-06 03:15:00";22.76;54.56
"2021-10-06 03:30:00";22.77;54.52
"2021-10-06 03:45:00";22.76;54.54
"2021-10-06 04:00:00";22.77;54.53
"2021-10-06 04:15:00";22.76;54.68
"2021-10-06 04:30:00";22.77;54.67
"2021-10-06 04:45:00";22.78;54.8
"2021-10-06 05:00:00";22.76;54.83
"2021-10-06 05:15:00";22.78;54.86
"2021-10-06 05:30:00";22.78;54.86
"2021-10-06 05:45:00";22.77;54.9
"2021-10-06 06:00:00";22.78;54.88
"2021-10-06 06:15:00";22.77;54.91
"2021-10-06 06:30:00";22.77;54.87
"2021-10-06 06:45:00";22.77;54.93
"2021-10-06 07:00:00";22.77;55.01
"2021-10-06 07:15:00";22.77;55.07
"2021-10-06 07:30:00";22.78;55.08
"2021-10-06 07:45:00";22.79;55.02
"2021-10-06 08:00:00";22.79;55.01
"2021-10-06 08:15:00";22.81;54.97
"2021-10-06 08:30:00";23.01;54.69
"2021-10-06 08:45:00";23.26;54.16
"2021-10-06 09:00:00";23.48;53.82
"2021-10-06 09:15:00";23.66;53.48
"2021-10-06 09:30:00";23.78;53.25
"2021-10-06 09:45:00";23.9;53.11
"2021-10-06 10:00:00";23.98;53.02
"2021-10-06 10:15:00";24.05;52.71
"2021-10-06 10:30:00";24.14;52.49
"2021-10-06 10:45:00";24.17;54.23
"2021-10-06 11:00:00";24.26;53.96
"2021-10-06 11:15:00";24.3;53.31
"2021-10-06 11:30:00";24.25;52.5
"2021-10-06 11:45:00";24.18;52.19
