34564,2021-10-03T19:18:29+0000;0444,T6650,Ha6ac;0445,T66cd,Ha488;0544,T6986,H8d44;0545,T6d81,H84b8;0644,T6b85,H8e6c;0645,T684a,H9e36;0744,T6659,H9873;0745,T65cc,Hab22
34565,2021-10-03T19:18:38+0000;0444,T6669,Ha5f1;0445,T680d,H9e44;0544,T6a72,H882f;0545,T6d58,H8275;0644,T6bca,H8ac8;0645,T68fa,H9a91;0744,T66ee,H969e;0745,T6616,Hab1d
34566,2021-10-03T19:18:47+0000;0444,T6602,H9196;0445,T678f,H881d;0544,T6988,H75bf;0545,T6a33,H7387;0644,T6a30,H78f0;0645,T68a2,H83a4;0744,T669d,H84dd;0745,T65f4,H9552
34567,2021-10-03T19:18:55+0000;0444,T65d6,H8d9d;0445,T674b,H8519;0544,T6903,H74a6;0545,T68c8,H78e8;0644,T698a,H794e;0645,T6876,H7fbe;0744,T666e,H7fc6;0745,T65d5,H9119
34568,2021-10-03T19:19:04+0000;0444,T66c1,H8e4b;0445,T67cd,H86b8;0544,T691b,H776b;0545,T6abd,H7bd7;0644,T6a61,H7ce9;0645,T68be,H83ce;0744,T6699,H80cc;0745,T6618,H9190
34569,2021-10-03T19:19:13+0000;0444,T67c9,H9135;0445,T6881,H8b27;0544,T6974,H7c9d;0545,T6c68,H7b98;0644,T6b40,H8088;0645,T693f,H8903;0744,T66f9,H85c4;0745,T668b,H9672
34570,2021-10-03T19:19:22+0000;0444,T6895,H934f;0445,T6925,H8e3c;0544,T69db,H8080;0545,T6d76,H7bb0;0644,T6bfb,H82f4;0645,T69bc,H8ca1;0744,T675f,H895d;0745,T6708,H9a81
34571,2021-10-03T19:19:30+0000;0444,T6950,H94a7;0445,T69bf,H903e;0544,T6a49,H8322;0545,T6e39,H7c39;0644,T6c93,H8490;0645,T6a3b,H8f25;0744,T67c5,H8c19;0745,T677e,H9d69
34572,2021-10-03T19:19:39+0000;0444,T69f2,H9558;0445,T6a46,H917c;0544,T6aaf,H8503;0545,T6ee0,H7cb5;0644,T6d25,H85a4;0645,T6aaf,H90c3;0744,T682a,H8e01;0745,T67ed,H9f32
34573,2021-10-03T19:19:48+0000;0444,T6a83,H95af;0445,T6ad4,H9215;0544,T6b1a,H8646;0545,T6f6e,H7ccf;0644,T6dac,H8611;0645,T6b19,H91bc;0744,T688b,H8efa;0745,T6861,Ha00b
34574,2021-10-03T19:19:57+0000;0444,T6b15,H9543;0445,T6b58,H91cb;0544,T6b85,H868f;0545,T6fed,H7c9b;0644,T6e31,H85e5;0645,T6b89,H91fd;0744,T68e6,H8f72;0745,T68cc,Ha006
34575,2021-10-03T19:20:05+0000;0444,T6b95,H94a1;0445,T6bd2,H9152;0544,T6bed,H867a;0545,T7064,H7c32;0644,T6ea2,H857b;0645,T6bf5,H91bc;0744,T6939,H8f94;0745,T6935,H9fff
34576,2021-10-03T19:20:14+0000;0444,T6c0e,H93eb;0445,T6c4e,H90a1;0544,T6c53,H8642;0545,T70d6,H7bae;0644,T6f0f,H84e0;0645,T6c51,H9173;0744,T6991,H8f9a;0745,T69a5,H9fb8
34577,2021-10-03T19:20:23+0000;0444,T6c8f,H92d7;0445,T6cc9,H8f9f;0544,T6cb9,H85da;0545,T713f,H7b0d;0644,T6f7e,H8447;0645,T6cad,H9117;0744,T69e4,H8f5a;0745,T6a0d,H9ee1
34578,2021-10-03T19:20:32+0000;0444,T6d03,H91a4;0445,T6d36,H8e97;0544,T6d17,H854c;0545,T71a1,H7a6c;0644,T6fe5,H8367;0645,T6d09,H906c;0744,T6a36,H8edc;0745,T6a6e,H9e10
34579,2021-10-03T19:20:40+0000;0444,T6d6b,H9082;0445,T6d9c,H8d93;0544,T6d71,H849f;0545,T7200,H79b3;0644,T7045,H8297;0645,T6d6c,H8f9d;0744,T6a8c,H8e50;0745,T6acd,H9d0b
34580,2021-10-03T19:20:49+0000;0444,T6dc5,H8f9c;0445,T6df9,H8ca0;0544,T6dc7,H83f8;0545,T7253,H7901;0644,T70a2,H81bc;0645,T6dbb,H8eca;0744,T6ae2,H8d94;0745,T6b2f,H9c0a
34581,2021-10-03T19:20:58+0000;0444,T6e2e,H8e92;0445,T6e64,H8b72;0544,T6e28,H831f;0545,T72ad,H783a;0644,T70fb,H80d6;0645,T6e17,H8dde;0744,T6b2a,H8ccc;0745,T6b85,H9ad9
