33703,2021-10-03T17:12:47+0000;0444,T7271,Hfb09;0445,T7293,Hfafd;0544,T739c,He22d;0545,T74d8,Heaff;0644,T7502,He993;0645,T73e8,Hf412;0744,T733a,Hee58;0745,T72ca,Hf756
33704,2021-10-03T17:12:55+0000;0444,T725d,Hfb06;0445,T7280,Hfb1b;0544,T738d,He233;0545,T74c5,Hec31;0644,T74f7,Hea0b;0645,T73d7,Hf41e;0744,T7326,Hee57;0745,T72ab,Hf74c
33705,2021-10-03T17:13:04+0000;0444,T7250,Hfb54;0445,T7275,Hfb78;0544,T7381,He288;0545,T74af,Hed01;0644,T74e5,Hea32;0645,T73c6,Hf44f;0744,T7314,Hee5f;0745,T7291,Hf72d
33706,2021-10-03T17:13:13+0000;0444,T7240,Hfb7f;0445,T725d,Hfb50;0544,T736d,He266;0545,T7492,Hed04;0644,T74d1,Hea29;0645,T73b1,Hf430;0744,T7300,Hee60;0745,T7279,Hf73c
33707,2021-10-03T17:13:22+0000;0444,T7227,Hfb62;0445,T724a,Hfb5e;0544,T7355,He25d;0545,T747d,Hecbf;0644,T74b9,Hea32;0645,T739c,Hf457;0744,T72e9,Hee58;0745,T7261,Hf734
33708,2021-10-03T17:13:30+0000;0444,T7216,Hfb91;0445,T7236,Hfb53;0544,T733e,He1f8;0545,T7464,Hed63;0644,T749e,Hea5c;0645,T7383,Hf3e7;0744,T72d5,Hee52;0745,T7248,Hf728
33709,2021-10-03T17:13:39+0000;0444,T71fe,Hfba3;0445,T7223,Hfb8f;0544,T7329,He269;0545,T744a,Hed87;0644,T7489,Heab3;0645,T7371,Hf443;0744,T72bf,Hee47;0745,T722e,Hf709
33710,2021-10-03T17:13:48+0000;0444,T71e9,Hfba7;0445,T720f,Hfb94;0544,T7317,He26c;0545,T742d,Hed23;0644,T746c,Hea77;0645,T7355,Hf3d6;0744,T72a9,Hee4a;0745,T721b,Hf71a
33711,2021-10-03T17:13:57+0000;0444,T71d4,Hfbb4;0445,T71f9,Hfbb8;0544,T72fe,He283;0545,T7415,Hed23;0644,T7452,Hea52;0645,T733c,Hf3ab;0744,T7293,Hee44;0745,T7200,Hf72c
33712,2021-10-03T17:14:05+0000;0444,T71ba,Hfb99;0445,T71e2,Hfb63;0544,T72e6,He22e;0545,T73fb,Hed2c;0644,T7438,Hea5b;0645,T7324,Hf3a7;0744,T727c,Hee3a;0745,T71e8,Hf73d
33713,2021-10-03T17:14:14+0000;0444,T71a3,Hfba0;0445,T71cc,Hfb74;0544,T72d0,He26c;0545,T73de,Hed6c;0644,T7419,He9c8;0645,T730b,Hf3c1;0744,T7263,Hee2c;0745,T71d2,Hf75f
33714,2021-10-03T17:14:23+0000;0444,T718b,Hfb91;0445,T71b3,Hfb45;0544,T72b6,He224;0545,T73c3,Hed4a;0644,T73fe,Hea15;0645,T72f3,Hf386;0744,T724d,Hee27;0745,T71b8,Hf751
33715,2021-10-03T17:14:32+0000;0444,T7173,Hfb99;0445,T71a0,Hfb5f;0544,T72a0,He261;0545,T73a8,Hed12;0644,T73e3,Hea3f;0645,T72da,Hf390;0744,T7235,Hee1b;0745,T719f,Hf74f
33716,2021-10-03T17:14:41+0000;0444,T715b,Hfb9f;0445,T718c,Hfb7f;0544,T7288,He28c;0545,T738d,Hecb6;0644,T73c9,He996;0645,T72c1,Hf362;0744,T721d,Hee13;0745,T7188,Hf72a
33717,2021-10-03T17:14:49+0000;0444,T713e,Hfb5d;0445,T7175,Hfb6b;0544,T7272,He26a;0545,T7371,Hec39;0644,T73af,He9c5;0645,T72a7,Hf307;0744,T7209,Hee0f;0745,T716e,Hf717
33718,2021-10-03T17:14:58+0000;0444,T7127,Hfb60;0445,T7159,Hfb42;0544,T7259,He22a;0545,T7359,Hecf0;0644,T7393,He956;0645,T728f,Hf2e8;0744,T71f0,Hee05;0745,T7154,Hf70c
33719,2021-10-03T17:15:07+0000;0444,T7111,Hfb6a;0445,T7142,Hfb39;0544,T7240,He228;0545,T733d,Hecbe;0644,T7379,He93c;0645,T7276,Hf2d6;0744,T71dc,Hedfd;0745,T713d,Hf6e5
33720,2021-10-03T17:15:16+0000;0444,T70f7,Hfb63;0445,T712d,Hfb27;0544,T7226,He229;0545,T7323,Hecaa;0644,T735c,He944;0645,T725d,Hf2d6;0744,T71c4,Heded;0745,T7128,Hf705
33721,2021-10-03T17:15:24+0000;0444,T70e2,Hfb65;0445,T7112,Hfb1d;0544,T7211,He239;0545,T730b,Hec7d;0644,T7343,He98a;0645,T7242,Hf298;0744,T71a7,Hede6;0745,T7112,Hf719
33722,2021-10-03T17:15:33+0000;0444,T70c8,Hfb71;0445,T7101,Hfb25;0544,T71fa,He23b;0545,T72f1,Hec07;0644,T7329,He993;0645,T722d,Hf263;0744,T7196,Hede2;0745,T70fa,Hf6fa
33723,2021-10-03T17:15:42+0000;0444,T70b3,Hfb65;0445,T70e4,Hfaee;0544,T71e2,He1fc;0545,T72d6,Hec0b;0644,T730e,He9b5;0645,T7214,Hf23c;0744,T7180,Heddb;0745,T70e7,Hf703
33724,2021-10-03T17:15:51+0000;0444,T7098,Hfb40;0445,T70ce,Hfad7;0544,T71ca,He1fa;0545,T72bb,Hebb4;0644,T72f6,He996;0645,T71fb,Hf219;0744,T716d,Hedd1;0745,T70cf,Hf6ff
33725,2021-10-03T17:15:59+0000;0444,T7082,Hfb44;0445,T70ba,Hfb0b;0544,T71b4,He228;0545,T72a4,Hec59;0644,T72d8,He90a;0645,T71e1,Hf227;0744,T7157,Hedc3;0745,T70b8,Hf6f7
33726,2021-10-03T17:16:08+0000;0444,T7066,Hfb24;0445,T70a1,Hfae6;0544,T719b,He1ec;0545,T728d,Hecb4;0644,T72c0,He93f;0645,T71cc,Hf208;0744,T7140,Hedc3;0745,T70a3,Hf6e8
